country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,P.1,12,1175,1
Netherlands,NL,2021-23,TESSy,9899,1175,11.9,Yes,Other,19,1175,1.6
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,B.1.1.7,745,1039,71.7
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,B.1.351,1,1039,0.1
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,B.1.617,0,1039,0
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,B.1.617.2,239,1039,23
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,B.1.621,9,1039,0.9
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,P.1,17,1039,1.6
Netherlands,NL,2021-24,TESSy,6294,1039,16.5,Yes,Other,28,1039,2.7
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,B.1.1.7,382,679,56.3
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,B.1.351,1,679,0.1
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,B.1.617,0,679,0
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,B.1.617.2,277,679,40.8
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,B.1.621,3,679,0.4
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,C.37,1,679,0.1
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,P.1,7,679,1
Netherlands,NL,2021-25,TESSy,4330,679,15.7,Yes,Other,8,679,1.2
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,B.1.1.7,271,929,29.2
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,B.1.351,1,929,0.1
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,B.1.617,0,929,0
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,B.1.617.2,631,929,67.9
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,B.1.621,5,929,0.5
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,C.37,1,929,0.1
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,P.1,3,929,0.3
Netherlands,NL,2021-26,TESSy,5813,929,16,Yes,Other,17,929,1.8
Netherlands,NL,2021-27,TESSy,39107,2449,6.3,Yes,B.1.1.7,336,2449,13.7
Netherlands,NL,2021-27,TESSy,39107,2449,6.3,Yes,B.1.617,0,2449,0
Netherlands,NL,2021-27,TESSy,39107,2449,6.3,Yes,B.1.617.2,2093,2449,85.5
Netherlands,NL,2021-27,TESSy,39107,2449,6.3,Yes,C.37,8,2449,0.3
Netherlands,NL,2021-27,TESSy,39107,2449,6.3,Yes,P.1,3,2449,0.1
Netherlands,NL,2021-27,TESSy,39107,2449,6.3,Yes,Other,9,2449,0.4
